SYMBOL,SERIES,SECURITY,HIGH/LOW
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
ACCORD,ST,ACCORD SYNERGY LIMITED,H
ACSTECH,EQ,A C S TECHNOLOGIES LTD.,H
AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,H
AGSTRA,BZ,AGS TRANSACT TECH LTD,H
AILIMITED,ST,ABHISHEK INTEGRATIONS LTD,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ATCENERGY,ST,ATC ENERGIES SYSTEM LTD,H
AURIGROW,EQ,AURI GROW INDIA LIMITED,H
BAFNAPH,EQ,BAFNA PHARMACEUTICALS LTD,H
BAWEJA,ST,BAWEJA STUDIOS LIMITED,H
BLUECHIP,EQ,BLUE CHIP INDIA LIMITED,H
BLUEWATER,ST,BLUE WATER LOGISTICS LTD,H
BMLL,ST,BIO MEDICA LABORATORIES L,H
BOHRAIND,BE,BOHRA INDUSTRIES LIMITED,H
CEREBRAINT,BZ,CEREBRA INT TECH LTD,H
CHETANA,ST,CHETANA EDUCATION LIMITED,H
CLCIND,BE,CLC INDUSTRIES LIMITED,H
CLEDUCATE,BE,CL EDUCATE LIMITED,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
COOLCAPS,SM,COOL CAPS INDUSTRIES LTD,H
CPPLUS,EQ,ADITYA INFOTECH LIMITED,H
DANGEE,EQ,DANGEE DUMS LIMITED,H
DCMSIL,BE,DCM SHRIRAM INTERNATNL L,H
DEEDEV,BE,DEE DEVELOPMENT ENG LTD,H
DELTIC,ST,DELTA AUTOCORP LIMITED,H
DHRUV,BE,DHRUV CONSULTANCY SER LTD,H
DIVYADHAN,ST,DIVYADHAN RECYCLING IND L,H
E2E,EQ,E2E NETWORKS LIMITED,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
GANESHIN,ST,GANESH INFRAWORLD LIMITED,H
GEMAROMA,BE,GEM AROMATICS LIMITED,H
GENSOL,BZ,GENSOL ENGINEERING LTD,H
GJL,ST,GROVER JEWELLS LIMITED,H
GOLDSTAR,ST,GOLDSTAR POWER LIMITED,H
GPECO,ST,GP ECO SOLUTIONS INDIA L,H
GTECJAINX,EQ,G-TEC JAINX EDUCATION LTD,H
GTL,EQ,GTL LTD,H
GVKPIL,BE,GVK POW. & INFRA LTD.,H
HITECHCORP,BE,HITECH CORPORATION LTD,H
HOACFOODS,SM,HOAC FOODS INDIA LIMITED,H
IDEAFORGE,BE,IDEAFORGE TECHNO LTD,H
IEML,SM,INDIAN EMULSIFIERS LTD,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
IMPEXFERRO,BZ,IMPEX FERRO TECH LIMITED,H
INNOMET,ST,INNOMET ADVANCED MATERI L,H
ITALIANE,ST,ITALIAN EDIBLES LIMITED,H
ITDC,EQ,INDIA TOUR. DEV. CO. LTD.,H
IWARE,ST,IWARE SUPPLYCHAIN SER LTD,H
IZMO,EQ,IZMO LIMITED,H
JKIPL,BE,JINKUSHAL INDUSTRIES LTD,H
KRITI,BE,KRITI INDUSTRIES IND LTD,H
KRN,BE,KRN HEAT EXCHANGE N REF L,H
KSHITIJPOL,BE,KSHITIJ POLYLINE LIMITED,H
LCCINFOTEC,BE,LCC INFOTECH LTD,H
LYKALABS,EQ,LYKA LABS LTD,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MAWANASUG,BE,MAWANA SUGARS LIMITED,H
MBLINFRA,EQ,MBL INFRASTRUCTURE LTD,H
MCON,SM,MCON RASAYAN INDIA LTD,H
MODISONLTD,BE,MODISON LIMITED,H
MON100,EQ,MOTILAL OS NASDAQ100 ETF,H
MONOPHARMA,SM,MONO PHARMACARE LIMITED,H
MONQ50,EQ,MOTILALAMC - MONQ50,H
MOTOGENFIN,BE,MOTOR & GENERAL FINANCE L,H
MTEDUCARE,BE,MT EDUCARE LTD,H
NEELAM,SM,NEELAM LINENS & GAR (I) L,H
NEPHROCARE,ST,NEPHRO CARE INDIA LIMITED,H
NINSYS,BE,NINTEC SYSTEMS LIMITED,H
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
ORTINGLOBE,EQ,ORTIN GLOBAL LIMITED,H
PARAMOUNT,ST,PARAMOUNT DYE TEC LIMITED,H
PFOCUS,BE,PRIME FOCUS LIMITED,H
POLYSIL,ST,POLYSIL IRRIGATION SYST L,H
PRAMARA,SM,PRAMARA PROMOTIONS LTD,H
PRAXIS,BE,PRAXIS HOME RETAIL LTD,H
PRECOT,EQ,PRECOT LIMITED,H
PREMIER,BE,PREMIER LIMITED,H
PRIMO,EQ,PRIMO CHEMICALS LIMITED,H
PRIZOR,ST,PRIZOR VIZTECH LIMITED,H
PURPLEUTED,SM,PURPLE UNITED SALES LTD,H
QLINE,ST,Q-LINE BIOTECH LIMITED,H
QPOWER,BE,QUALITY POWER ELEC EQUP L,H
QUADPRO,SM,QUADPRO ITES LIMITED,H
QUICKTOUCH,SM,QUICKTOUCH TECHNOLOGIES L,H
RAMCOSYS,EQ,RAMCO SYSTEMS LTD.,H
RBS,ST,RAMDEVBABA SOLVENT LTD,H
RCOM,BE,RELIANCE COMMUNICATIONS L,H
