MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AN,971SCL28,SEC RE NCD 9.71% SR.VIII,       474.00,       380.10,       380.10,       380.10,       380.10,                     5701.50,15, ,2,       878.00,       380.10
N,AY,SCLZC26B,SEC RE NCD SR VI,      1300.00,      1300.00,      1300.00,      1292.02,      1292.81,                    15528.18,12, ,3,      1300.00,      1132.65
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,       680.00,       813.00,       813.00,       813.00,       813.00,                     4878.00,6, ,2,      1001.00,       577.00
N,N0,1025VCCL28,VCCL 10.25% 2028,     96300.00,     96934.89,     96934.89,     96934.89,     96934.89,                   387739.56,4, ,2,     98314.40,     90300.00
N,N0,1075WCAP28,WCAPL 10.75% 2028,     98266.35,     98099.99,     98099.99,     98099.99,     98099.99,                    98099.99,1, ,1,     98817.90,     81000.00
N,N0,115VCCL28A,VCCL28A 11.5% 2028,     99450.00,     95001.01,     98000.00,     95000.00,     98000.00,                   965001.01,10, ,6,    101000.00,     86000.00
N,N0,115VCCL31A,VCCL31A 11.5% 2031,      9700.00,      9700.00,      9749.00,      9700.00,      9700.00,                   699478.00,72, ,8,      9887.81,      9600.00
N,N0,118VCCL27B,VCCL 11.8% 2027 SR B,     98499.00,     98501.01,     98501.01,     98501.01,     98501.01,                    98501.01,1, ,1,    102000.00,     97000.00
N,N0,11MCS27,MCS 11% 2027,     10000.00,     10000.00,     10000.00,     10000.00,     10000.00,                    60000.00,6, ,2,     10000.00,     10000.00
N,N0,1225IFL27,IFL 12.25% 2027,      9001.00,      9001.11,      9001.11,      9001.00,      9001.00,                   162018.99,18, ,3,     10980.00,      7875.00
N,N0,1225IFL28,IFL 12.25% 2028,      9001.12,      9001.11,      9001.11,      9001.00,      9001.00,                    54006.44,6, ,2,      9900.00,      7995.00
N,N0,125VCCL31,VCCL 12.5% 2031,     96397.00,     96500.00,     96500.00,     96500.00,     96500.00,                    96500.00,1, ,1,     97900.00,     76800.00
N,N0,12AFIL27A,AFIL 12% 2027,      9708.00,      9920.00,      9920.00,      9920.00,      9920.00,                    39680.00,4, ,1,     10050.00,      8602.00
N,N0,12VCCL29B,VCCL 12% 2029,     99000.00,     98551.01,     98551.01,     98551.01,     98551.01,                   295653.03,3, ,1,    102000.00,     89900.00
N,N0,925ISF28,ISF 9.25% 2028,      9731.00,      9854.99,      9854.99,      9854.99,      9854.99,                    29564.97,3, ,1,     10033.00,      7751.00
N,N0,930APMD34,APMDC 9.30% 2034 STRPP H,    105500.00,    106000.00,    106000.00,    106000.00,    106000.00,                  1060000.00,10, ,2,    106868.00,    100663.00
N,N0,935TSI27,TSI 9.35% 27 SR I-A,    101900.00,    101900.00,    101900.00,    101900.00,    101900.00,                   407600.00,4, ,1,    102700.00,    100487.02
N,N0,935TSI31,TSI 9.35% 31 SR I-E,    105011.00,    105391.92,    105570.92,    105391.92,    105570.92,                  2213409.32,21, ,2,    119001.00,    101621.99
N,N0,950ISF27C,ISF 9.50% 2027,      9875.00,      9965.90,      9965.90,      9965.90,      9965.90,                    59795.40,6, ,2,     10499.99,      9321.00
N,N0,950SCL30,SCL 9.50% 2030 SR I,    100000.00,    101334.40,    101334.40,    101334.40,    101334.40,                 10133440.00,100, ,2,    101334.40,    101334.40
N,N0,960SCL35,SCL 9.60% 2035,    100000.00,    102600.00,    102600.00,    102600.00,    102600.00,                   102600.00,1, ,1,    102600.00,    102600.00
N,N0,965SCL25C,SEC RE NCD 9.39% SR.VIII,       531.00,       500.00,       500.00,       500.00,       500.00,                   128000.00,256, ,5,       659.10,       375.10
N,N0,975ISF28,ISF 9.75% NCD 2028,     96001.01,     96001.01,     96500.00,     96001.01,     96001.50,                   674502.51,7, ,4,    107698.99,     86000.00
N,N0,975SCL35,SCL 9.75% 2035 SR II,    108000.00,    102800.00,    102800.00,    102800.00,    102800.00,                   514000.00,5, ,1,    108000.00,     90500.00
N,N1,1015SCL29B,SEC RE NCD 10.15% SR VII,      1038.31,      1065.15,      1065.15,      1065.15,      1065.15,                    74560.50,70, ,2,      1065.15,       970.00
N,N1,1040UCL27B,SEC RE NCD 10.40% SR III,      1002.23,      1000.00,      1005.00,      1000.00,      1000.00,                    93250.00,93, ,8,      1099.00,       950.00
