MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABGSEC,BIRLASLAMC - ABGSEC,       112.00,       111.99,       111.99,       111.99,       111.99,                      559.95,5,1,       113.31,       108.00,ADITYA BIRLA SUN LIFE CRISIL BROAD BASED GILT ETF
N,EQ,ABSL10BANK,BIRLASLAMC - ABSL10BANK,       159.98,       161.21,       161.21,       160.60,       160.60,                    45398.09,282,9,       214.42,       150.00,BSE TOP 10 BANKS INDEX
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,        55.55,        54.44,        56.00,        54.44,        55.70,                  5611713.94,100536,280,        64.94,        50.97,NIFTY BANK
N,EQ,ABSLLIQUID,BIRLASLAMC - ABSLLIQUID,      1000.00,      1000.01,      1000.01,       999.99,      1000.00,                  4695009.87,4695,28,      1044.99,       999.56,ADITYA BIRLA SUN LIFE CRISIL OVERNIGHT FUND AI ETF
N,EQ,ABSLMSCIN,BIRLASLAMC - ABSLMSCIN,        28.59,        28.70,        28.75,        28.38,        28.38,                     3521.57,123,6,        32.69,        26.34,MSCI INDIA INDEX
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,        73.77,        72.58,        74.58,        72.58,        73.66,                   782457.57,10596,193,        76.10,        63.02,NIFTY NEXT 50
N,EQ,ABSLPSE,BIRLASLAMC-ABSLPSE,        10.51,        10.64,        10.64,        10.40,        10.45,                   780705.79,74554,484,        11.60,         9.21,ADITYA BIRLA SUN LIFE NIFTY PSE ETF
N,EQ,ALPHA,KOTAKMAMC - KOTAKALPHA,        50.36,        50.73,        50.74,        49.82,        50.16,                110298349.57,2194176,2695,        53.60,        42.00,NIFTY ALPHA 50 INDEX
N,EQ,ALPHAETF,MIRAEAMC - ALPHAETF,        25.59,        25.78,        25.81,        25.41,        25.59,                  4035442.70,157353,633,        26.53,        21.80,MIRAE ASSET NIFTY 200 ALPHA 30 ETF
N,EQ,ALPL30IETF,ICICIPRAMC - ICICIALPLV,        26.23,        26.23,        26.44,        26.17,        26.19,                  5238331.19,199467,821,        28.72,        24.35,NIFTY ALPHA LOW-VOLATILITY 30 INDEX
N,EQ,AONEGOLD,AONEAMC - AONEGOLD,        14.52,        14.59,        14.65,        14.33,        14.43,                  5957834.15,412987,1316,        17.73,        10.00,DOMESTIC PRICE OF GOLD
N,EQ,AONELIQUID,AONEAMC - AONELIQUID,      1062.28,      1041.03,      1070.00,      1041.03,      1062.71,                 82645554.23,77767,226,      1070.00,       980.27,NIFTY 1D RATE INDEX
N,EQ,AONENIFTY,AONEAMC - AONENIFTY,         9.60,         9.36,         9.78,         9.36,         9.59,                  1199572.29,124622,1207,        11.06,         9.00,NIFTY 50 INDEX
N,EQ,AONESILVER,AONEAMC - AONESILVER,         9.83,         9.87,         9.96,         9.61,         9.72,                  5456496.73,562219,1270,        12.00,         7.68,DOMESTIC PRICE OF SILVER
N,EQ,AONETMMQ50,AONEAMC - AONETMMQ50,        10.20,        10.25,        10.32,        10.11,        10.21,                  1980787.68,194170,347,        10.87,         8.00,NIFTY TOTAL MARKET MOMENTUM QUALITY 50 TRI
N,EQ,AONETOTAL,AONEAMC - AONETOTAL,        11.43,        11.52,        11.52,        11.39,        11.43,                  1820950.70,159159,1105,        12.51,         9.60,NIFTY TOTAL MARKET INDEX
N,EQ,AUTOBEES,NIPPONAMC - NETFAUTO,       269.39,       272.13,       272.13,       268.00,       269.65,                 46705941.87,173121,2140,       299.92,       234.11,NIFTY AUTO TRI
N,EQ,AUTOIETF,ICICIPRAMC - ICICIAUTO,        26.98,        26.98,        27.36,        26.85,        27.12,                  5837153.19,215746,1386,        30.50,        23.30,NIFTY AUTO INDEX
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       558.57,       559.17,       561.89,       557.00,       560.29,                   553906.21,992,31,       647.82,       512.51,NIFTY BANK
N,EQ,AXISCETF,AXISAMC - AXISCETF,       114.48,       115.21,       119.00,       114.35,       114.53,                   230158.32,2007,35,       131.85,       105.63,NIFTY INDIA CONSUMPTION INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,       129.46,       129.46,       129.46,       128.10,       128.62,                 57084859.38,443907,4123,       150.00,        79.00,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,       155.95,       156.62,       157.94,       155.65,       156.30,                   296687.82,1898,77,       163.11,       135.20,NIFTY HEALTHCARE INDEX
N,EQ,AXISILVER,AXISAMC - AXISILVER,       255.96,       254.12,       255.12,       250.23,       252.80,                 39562854.02,156548,3432,       390.01,        97.21,AXIS SILVER ETF
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       258.51,       262.30,       262.30,       256.46,       257.82,                 53567695.56,207439,240,       296.38,       244.00,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       321.75,       325.00,       325.00,       318.70,       319.43,                   658529.19,2059,76,       439.67,       297.60,NIFTY IT INDEX
N,EQ,AXISVALUE,AXISAMC - AXISVALUE,        34.01,        34.10,        34.39,        33.42,        33.68,                  4466293.50,132230,629,        35.27,        22.84,NIFTY500 VALUE 50 TRI
N,EQ,AXSENSEX,AXISAMC - AXSENSEX,        76.99,        77.78,        77.78,        76.52,        76.76,                   238822.86,3090,56,        91.35,        73.52,AXIS S&P BSE SENSEX ETF
N,EQ,BANK10ADD,DSPAMC - BANK10ADD,        16.08,        16.10,        16.25,        16.01,        16.07,                   308572.12,19162,106,        18.99,        12.08,BSE TOP 10 BANKS INDEX (TRI)
N,EQ,BANKADD,DSPAMC - DSPBANK,        55.56,        55.86,        55.94,        55.22,        55.65,                  2769084.47,49753,170,        62.90,        51.01,DSP NIFTY BANK ETF
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       561.27,       562.00,       566.19,       559.50,       563.08,                575013223.41,1021395,12427,       638.99,       515.98,NIFTY BANK
N,EQ,BANKBETA,UTIAMC-BANKBETA,        55.96,        55.73,        56.55,        55.73,        56.25,                  3545038.32,63145,555,        73.70,        51.30,NIFTY BANK
N,EQ,BANKBETF,BFAM - BANKBETF,        55.08,        55.37,        55.50,        54.86,        55.27,                  1217942.10,22042,188,        62.46,        50.71,BAJAJ FINSERV NIFTY BANK ETF
N,EQ,BANKETF,MIRAEAMC - BANKETF,       552.28,       553.00,       556.98,       550.04,       554.39,                 31897415.68,57461,340,       628.27,       507.01,MIRAE ASSET NIFTY BANK ETF
N,EQ,BANKIETF,ICICIPRAMC - IPRU5008,        55.67,        55.98,        56.20,        55.43,        55.80,                155938444.62,2791444,2855,        63.90,        51.17,NIFTY BANK
N,EQ,BANKNIFTY1,KOTAKMAMC-KOTAKBKETF,        56.62,        57.00,        57.00,        56.06,        56.42,                 21124470.03,373765,927,       652.87,        51.71,NIFTY BANK
N,EQ,BANKPSU,MIRAEAMC - BANKPSU,        82.99,        83.05,        84.26,        82.95,        83.34,                  2520367.35,30119,163,        99.52,        67.43,NIFTY PSU BANK TOTAL RETURN INDEX
N,EQ,BBETF0432,EDELAMC - BBETF0432,      1308.62,      1309.00,      1312.98,      1300.97,      1312.27,                  4729755.56,3606,62,      1346.89,      1262.29,NIFTY BHARAT BOND INDEX - APRIL 2032
N,EQ,BBNPNBETF,BARODABNP - BBNPNBETF,        54.50,        55.04,        55.57,        54.41,        55.00,                    41088.47,750,31,        62.77,        50.03,BARODA BNP PARIBAS NIFTY BANK ETF
N,EQ,BBNPPGOLD,BARODABNP - BBNPPGOLD,       150.50,       150.85,       153.00,       148.70,       149.80,                   145661.15,973,90,       184.05,        92.55,BARODA BNP PARIBAS GOLD ETF
N,EQ,BFSI,MIRAEAMC - MAFSETF,        25.92,        26.56,        26.56,        25.85,        25.94,                  4472220.42,171353,782,        29.94,        24.03,NIFTY FINANCIAL SERVICES INDEX
N,EQ,BSE500IETF,ICICIPRAMC - ICICI500,        37.87,        38.63,        38.63,        37.68,        37.87,                  1378621.66,36329,895,        41.64,        34.50,S&P BSE 500 INDEX
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,       136.56,       136.56,       136.56,       135.23,       135.88,                 20106953.68,148116,2423,       155.99,        83.25,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,        27.35,        28.03,        28.03,        27.10,        27.30,                106453637.44,3903570,5655,        31.45,        25.70,NIFTY 50
N,EQ,BSLSENETFG,BIRLASLAMC - BSLSENETFG,        74.73,        76.20,        76.20,        73.97,        74.52,                   319084.13,4280,138,        87.82,        64.38,BSE SENSEX INDEX
N,EQ,CASHIETF,ICICIPRAMC - CASHIETF,      1064.91,      1065.34,      1065.36,      1065.34,      1065.35,                212185492.29,199168,3827,      1066.75,      1001.71,BSE LIQUID RATE INDEX
N,EQ,CHEMICAL,KOTAKMAMC - CHEMICAL,        29.10,        29.45,        29.45,        29.05,        29.22,                 10708375.93,366469,858,        30.45,        24.50,NIFTY CHEMICALS INDEX (TRI)
N,EQ,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,       153.81,       153.67,       154.07,       152.60,       153.38,                   233893.48,1525,92,       175.49,       115.79,GOLD
N,EQ,COMMOIETF,ICICIPRAMC - ICICICOMMO,       103.81,       103.11,       104.42,       102.00,       102.52,                 13471476.73,131292,2795,       110.56,        85.55,ICICI PRUDENTIAL NIFTY COMMODITIES ETF
N,EQ,CONS,KOTAKMAMC - KOTAKCONS,        11.49,        11.46,        11.70,        11.42,        11.50,                   551237.65,47942,122,       132.00,        10.20,KOTAK NIFTY INDIA CONSUMPTION ETF
N,EQ,CONSUMBEES,NIP IND ETF CONSUMPTION,       124.33,       125.62,       125.62,       123.97,       124.43,                  5656600.23,45473,848,       144.38,       114.00,NIFTY INDIA CONSUMPTION TRI
N,EQ,CONSUMER,MIRAEAMC - CONSUMER,        10.93,        11.00,        11.00,        10.88,        10.92,                   898841.04,82199,272,        12.87,         9.69,NIFTY INDIA NEW AGECONSUMPTION
N,EQ,CONSUMIETF,ICICIPRAMC - ICICICONSU,       115.20,       115.72,       116.09,       115.09,       115.69,                  1893788.71,16385,356,       141.27,        94.65,NIFTY INDIA CONSUMPTION INDEX
N,EQ,CPSEETF,CPSE ETF,       101.02,       102.50,       102.50,        99.71,       100.17,                 94884287.05,945778,10162,       110.50,        85.67,CPSE ETF
N,EQ,DEFENCE,MIRAEAMC - DEFENCE,        75.77,        77.66,        77.66,        75.62,        75.93,                 14003488.86,184116,734,        79.23,        58.91,BSE INDIA DEFENCE
N,EQ,DIVIDEND,MIRAEAMC - DIVIDEND,        36.03,        36.21,        36.21,        35.55,        35.73,                   386182.36,10791,157,        38.03,        33.15,BSE 500 DIVIDEND LEADERS
N,EQ,DIVOPPBEES,NIP IND ETF DIV OPP,        77.23,        78.77,        79.00,        76.35,        77.07,                  3189554.07,41460,1172,        87.09,        72.13,NIFTY DIVIDEND OPPORTUNITIES 50 TRI
N,EQ,EBANKNIFTY,EDELAMC - EBANKNIFTY,        54.52,        54.52,        55.00,        54.24,        54.82,                    33675.41,615,37,        69.39,        50.05,EDELWEISS NIFTY BANK ETF
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1568.72,      1565.39,      1582.39,      1565.39,      1573.13,                 50259847.19,31958,625,      1612.43,      1232.00,NIFTY BHARAT BOND
N,EQ,EBBETF0431,EDELAMC - EBBETF0431,      1396.86,      1396.86,      1402.00,      1394.96,      1401.15,                  6519761.21,4655,86,      1417.93,      1357.15,NIFTY BHARAT BOND
N,EQ,EBBETF0433,EDELAMC - EBBETF0433,      1271.44,      1273.01,      1275.99,      1269.14,      1273.54,                  3134663.84,2464,102,      1315.12,      1241.38,BHARAT BOND ETF-APRIL 2033
N,EQ,ECAPINSURE,EDELAMC - ECAPINSURE,        23.54,        23.44,        23.98,        23.44,        23.58,                  1879902.94,79098,242,        26.77,        20.50,BSE CAPITAL MARKETS & INSURANCE TOTAL RETURN INDEX
N,EQ,EGOLD,EDELAMC - EGOLD,       155.25,       154.90,       154.90,       153.55,       154.25,                 25021442.00,162002,365,       184.95,        94.60,EDELWEISS GOLD ETF
N,EQ,ELIQUID,EDELAMC - ELIQUID,      1033.55,      1033.98,      1033.98,      1033.96,      1033.96,                  2221981.25,2149,8,      1043.00,       996.00,NIFTY 1D RATE INDEX (DEBT INDEX)
N,EQ,ELM250,EDELAMC - ELM250,        16.04,        15.99,        16.45,        15.99,        16.08,                   472675.60,29295,165,        19.20,        14.43,NIFTY LARGEMIDCAP 250 TRI
N,EQ,EMULTIMQ,EDELAMC - EMULTIMQ,        42.08,        42.37,        42.50,        41.71,        41.88,                   747108.65,17749,157,        44.97,        36.25,NIFTY500 MULTICAP MOMENTUM QUALITY 50 TOTAL RETURN INDEX
N,EQ,ENERGY,MIRAEAMC - ENERGY,        40.64,        41.10,        41.10,        40.23,        40.44,                 19305505.86,477000,1100,        42.82,        29.00,NIFTY ENERGY
N,EQ,ENEXT50,EDELAMC - ENEXT50,        70.27,        70.67,        70.67,        70.24,        70.50,                    12665.46,180,9,        73.70,        69.20,NIFTY NEXT 50 TOTAL RETURN INDEX
N,EQ,ENIFTY,EDELAMC - ENIFTY,        23.39,        22.80,        23.53,        22.80,        23.42,                  4735523.30,202704,55,        27.99,        22.28,NIFTY 50 TRI
N,EQ,EQUAL200,MIRAEAMC - EQUAL200,        13.32,        13.35,        13.42,        13.28,        13.33,                    14688.81,1099,43,        13.96,        11.75,BSE 200 EQUAL WEIGHT
