GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,ADANI ENTERPRISES LIMITED,      3048.20,      2972.80,2.54
G,HINDUSTAN UNILEVER LTD.,      2121.50,      2079.40,2.02
G,ADANI PORT & SEZ LTD,      1824.20,      1790.90,1.86
G,BAJAJ FINANCE LIMITED,       889.40,       874.40,1.72
G,AXIS BANK LIMITED,      1272.30,      1253.30,1.52
G,MAX HEALTHCARE INS LTD,       977.25,       966.20,1.14
G,SBI LIFE INSURANCE CO LTD,      1782.80,      1764.90,1.01
G,ASIAN PAINTS LIMITED,      2686.70,      2661.60,0.94
G,ETERNAL LIMITED,       256.50,       254.35,0.85
G,DR. REDDY S LABORATORIES,      1278.20,      1267.50,0.84
G,ICICI BANK LTD.,      1262.10,      1251.70,0.83
G,SHRIRAM FINANCE LIMITED,       923.30,       915.80,0.82
G,MAHINDRA & MAHINDRA LTD,      3040.50,      3016.10,0.81
G,TITAN COMPANY LIMITED,      4260.20,      4231.00,0.69
G,APOLLO HOSPITALS ENTER. L,      8304.50,      8249.00,0.67
G,JIO FIN SERVICES LTD,       236.89,       235.74,0.49
G,POWER GRID CORP. LTD.,       285.65,       284.60,0.37
G,LARSEN & TOUBRO LTD.,      3953.20,      3942.10,0.28
G,HDFC LIFE INS CO LTD,       575.30,       573.75,0.27
G,NESTLE INDIA LIMITED,      1386.20,      1382.90,0.24
G,ITC LTD,       280.70,       280.30,0.14
G,SUN PHARMACEUTICAL IND L,      1782.20,      1780.10,0.12
 , , , , 
L,HINDALCO  INDUSTRIES  LTD,      1092.60,      1125.60,-2.93
L,TRENT LTD,      2774.20,      2837.60,-2.23
L,COAL INDIA LTD,       472.30,       481.65,-1.94
L,TATA CONSULTANCY SERV LT,      2198.90,      2241.00,-1.88
L,TATA STEEL LIMITED,       206.77,       210.57,-1.80
L,TATA CONSUMER PRODUCT LTD,      1130.90,      1149.30,-1.60
L,JSW STEEL LIMITED,      1284.00,      1301.10,-1.31
L,NTPC LTD,       361.65,       366.40,-1.30
L,HCL TECHNOLOGIES LTD,      1154.70,      1168.30,-1.16
L,BHARTI AIRTEL LIMITED,      1798.20,      1818.90,-1.14
L,KOTAK MAHINDRA BANK LTD,       377.45,       381.50,-1.06
L,OIL AND NATURAL GAS CORP.,       264.75,       267.55,-1.05
L,HDFC BANK LTD,       747.05,       754.20,-0.95
L,ULTRATECH CEMENT LIMITED,     10912.00,     10997.00,-0.77
L,INTERGLOBE AVIATION LTD,      4481.30,      4508.80,-0.61
L,EICHER MOTORS LTD,      7070.00,      7110.00,-0.56
L,GRASIM INDUSTRIES LTD,      3087.70,      3103.50,-0.51
L,TATA MOTORS PASS VEH LTD,       397.80,       399.70,-0.48
L,BHARAT ELECTRONICS LTD,       408.20,       409.90,-0.41
L,BAJAJ FINSERV LTD.,      1703.20,      1709.80,-0.39
L,INFOSYS LIMITED,      1197.50,      1201.30,-0.32
L,TECH MAHINDRA LIMITED,      1483.50,      1487.30,-0.26
L,BAJAJ AUTO LIMITED,     10342.00,     10362.00,-0.19
L,STATE BANK OF INDIA,       977.70,       979.25,-0.16
L,MARUTI SUZUKI INDIA LTD.,     13050.00,     13064.00,-0.11
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,ADANI GREEN ENERGY LTD,      1525.70,      1423.30,7.19
G,ADANI ENERGY SOLUTION LTD,      1579.00,      1520.00,3.88
G,REC LIMITED,       343.90,       335.20,2.60
G,CANARA BANK,       135.81,       133.12,2.02
G,TORRENT PHARMACEUTICALS L,      4420.90,      4339.90,1.87
G,POWER FIN CORP LTD.,       431.75,       424.45,1.72
G,LODHA DEVELOPERS LIMITED,       894.45,       881.75,1.44
G,CHOLAMANDALAM IN & FIN CO,      1503.20,      1486.00,1.16
G,TATA CAPITAL LIMITED,       314.80,       311.20,1.16
G,ADANI POWER LTD,       232.60,       230.03,1.12
G,PUNJAB NATIONAL BANK,       106.85,       105.67,1.12
G,SOLAR INDUSTRIES (I) LTD,     18441.00,     18293.00,0.81
G,BAJAJ HOLDINGS & INVS LTD,     10199.00,     10127.00,0.71
G,BOSCH LIMITED,     37240.00,     37000.00,0.65
G,TVS MOTOR COMPANY  LTD,      3383.90,      3362.50,0.64
G,HINDUSTAN AERONAUTICS LTD,      4216.90,      4191.00,0.62
G,BRITANNIA INDUSTRIES LTD,      5120.50,      5090.00,0.60
G,INDIAN RAILWAY FIN CORP L,        96.47,        96.06,0.43
G,ZYDUS LIFESCIENCES LTD,      1089.00,      1084.60,0.41
G,DIVI S LABORATORIES LTD,      6623.00,      6596.50,0.40
