Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 JUN 2026,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,05 JUN 2026,               5.00,          35286502,            195.75,     6908038496.55 
05 JUN 2026,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,05 JUN 2026,              10.00,          10500000,             33.00,      346605000.00
05 JUN 2026,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,05 JUN 2026,               1.00,         405915969,           1073.90,   435913159109.10    
05 JUN 2026,3BBLACKBIO,EQ,3B BLACKBIO DX LTD.      ,Permitted ,05 JUN 2026,              10.00,           8582670,           1120.60,     9617740002.00
05 JUN 2026,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,05 JUN 2026,              10.00,         207396267,             17.05,     3540254277.70 
05 JUN 2026,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,05 JUN 2026,              10.00,          11265070,          31995.00,   360425914650.00   
05 JUN 2026,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,05 JUN 2026,               2.00,          18000000,             31.80,      572220000.00    
05 JUN 2026,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,05 JUN 2026,              10.00,          46882257,            311.60,    14608511281.20    
05 JUN 2026,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,05 JUN 2026,               2.00,          46078537,            633.90,    29209184604.30   
05 JUN 2026,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,05 JUN 2026,              10.00,         176119858,             14.75,     2601290302.65  
05 JUN 2026,AAATECH,EQ,AAA TECHNOLOGIES LIMITED ,Listed    ,05 JUN 2026,              10.00,          12826800,             92.45,     1185581124.00   
05 JUN 2026,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,05 JUN 2026,              10.00,         434836463,            468.15,   203568690153.45 
05 JUN 2026,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,05 JUN 2026,              10.00,          14172816,             70.80,     1003435372.80    
05 JUN 2026,AAKASH,BE,AAKASH EXPLORATION SER L ,Listed    ,05 JUN 2026,               1.00,         101250000,              9.90,     1002375000.00    
05 JUN 2026,AARADHYA,SM,AARADHYA DISPOSAL INDUS L,Listed    ,05 JUN 2026,              10.00,          14138000,             83.90,     1186178200.00  
05 JUN 2026,AAREYDRUGS,BE,AAREY DRUGS & PHARM LTD  ,Listed    ,05 JUN 2026,              10.00,          28354303,             77.85,     2207098945.50
05 JUN 2026,AARNAV,EQ,AARNAV FASHIONS LIMITED  ,Listed    ,05 JUN 2026,              10.00,          42238628,             25.00,     1055543313.70    
05 JUN 2026,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,05 JUN 2026,              10.00,          20946478,            115.35,     2415757307.75     
05 JUN 2026,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,05 JUN 2026,               5.00,          31770375,             41.90,     1330861008.75   
05 JUN 2026,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,05 JUN 2026,              10.00,          91270000,            376.85,    34395099500.00
05 JUN 2026,AARTIIND,EQ,AARTI INDUSTRIES LTD     ,Listed    ,05 JUN 2026,               5.00,         362594369,            458.05,   166086350720.45  
05 JUN 2026,AARTIPHARM,EQ,AARTI PHARMALABS LIMITED ,Listed    ,05 JUN 2026,               5.00,          90657751,            628.30,    56960264953.30
05 JUN 2026,AARTISURF,EQ,AARTI SURFACTANTS LIMITED,Listed    ,05 JUN 2026,              10.00,           8464995,            370.20,     3133741149.00 
05 JUN 2026,AARVI,EQ,AARVI ENCON LIMITED      ,Listed    ,05 JUN 2026,              10.00,          14810700,            129.50,     1918281864.00     
05 JUN 2026,AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,Listed    ,05 JUN 2026,               5.00,          22600000,             19.00,      429400000.00    
05 JUN 2026,AAVAS,EQ,AAVAS FINANCIERS LIMITED ,Listed    ,05 JUN 2026,              10.00,          79191876,           1297.80,   102775216672.80     
05 JUN 2026,ABANSENT,BE,ABANS ENTERPRISES LTD.   ,Permitted ,05 JUN 2026,               2.00,          69748880,             27.80,     1938321375.20  
05 JUN 2026,ABB,EQ,ABB INDIA LIMITED        ,Listed    ,05 JUN 2026,               2.00,         211908375,           7167.50,  1518853277812.50       
05 JUN 2026,ABBOTINDIA,EQ,ABBOTT INDIA LIMITED     ,Permitted ,05 JUN 2026,              10.00,          21249302,          26035.00,   553225577570.00
05 JUN 2026,ABCAPITAL,EQ,ADITYA BIRLA CAPITAL LTD.,Listed    ,05 JUN 2026,              10.00,        2619471475,            357.50,   936461052312.50 
05 JUN 2026,ABCOTS,EQ,A B COTSPIN INDIA LIMITED,Listed    ,05 JUN 2026,              10.00,          21963620,            204.15,     4484092659.20    
05 JUN 2026,ABDL,EQ,ALLIED BLEND N DISTILS L ,Listed    ,05 JUN 2026,               2.00,         279710151,            580.70,   162427684685.70      
05 JUN 2026,ABFRL,EQ,ADITYA BIRLA FASHION & RT,Listed    ,05 JUN 2026,              10.00,        1220510115,             60.10,    73340452810.35     
05 JUN 2026,ABHAPOWER,SM,ABHA POWER N STEEL LTD   ,Listed    ,05 JUN 2026,              10.00,          18587830,             29.00,      539047070.00 
05 JUN 2026,ABINFRA,EQ,A B INFRABUILD LIMITED   ,Listed    ,05 JUN 2026,               1.00,         638789360,             10.45,     6668960918.40   
05 JUN 2026,ABLBL,EQ,ADITYA BIRLA LIFES BRAN L,Listed    ,05 JUN 2026,              10.00,        1220509509,            101.55,   123942740638.95     
05 JUN 2026,ABMINTLLTD,EQ,ABM INTERNATIONAL LTD    ,Listed    ,04 JUN 2026,              10.00,           9408000,             42.95,      404073600.00
05 JUN 2026,ABMKNO,EQ,A B M KNOWLEDGEWARE LTD. ,Permitted ,05 JUN 2026,               5.00,          20002200,            215.35,     4307073726.00    
05 JUN 2026,ABNINT,IT,A B N INTERCORP LIMITED  ,Listed    ,Not Traded ,              10.00,            419532,            200.00,       83906400.00    
05 JUN 2026,ABREL,EQ,ADITYA BIRLA REAL EST LTD,Listed    ,05 JUN 2026,              10.00,         111695680,           1237.80,   138256912704.00     
05 JUN 2026,ABSLAMC,EQ,ADIT BIRL SUN LIF AMC LTD,Listed    ,05 JUN 2026,               5.00,         288785629,           1048.80,   302878367695.20   
05 JUN 2026,ABSMARINE,ST,ABS MARINE SERVICES LTD  ,Listed    ,05 JUN 2026,              10.00,          24550000,            256.95,     6308122500.00 
05 JUN 2026,ACC,EQ,ACC LIMITED              ,Listed    ,05 JUN 2026,              10.00,         187787263,           1329.80,   249719502337.40       
05 JUN 2026,ACCELYA,EQ,ACCELYA SOLN INDIA LTD   ,Listed    ,05 JUN 2026,              10.00,          14926261,           1120.40,    16723382824.40   
05 JUN 2026,ACCENTMIC,SM,ACCENT MICROCELL LIMITED ,Listed    ,05 JUN 2026,              10.00,          23989020,            477.40,    11452358148.00 
