MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     23416.55,     23478.95,     23516.35,     23282.65,     23366.70,1288706238297.98,5723225697,Y, ,36740162,     26373.20,     22182.55
Y, , ,NIFTY50 EQL Wgt,     32174.00,     32230.35,     32293.45,     31976.30,     32123.90,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 EQL Wgt,     33682.50,     33787.50,     33884.85,     33542.95,     33711.20,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 LowVol30,     19309.15,     19347.30,     19367.40,     19234.45,     19304.30,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY Alpha 50,     52299.55,     52467.55,     52634.75,     51919.60,     52203.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY MIDCAP 150,     22315.95,     22399.45,     22461.40,     22172.60,     22251.80,0.00,0,Y, ,0,     23007.10,     19218.00
Y, , ,NIFTY SMLCAP 50,      8914.25,      8938.15,      8969.55,      8863.90,      8909.55,0.00,0,Y, ,0,      9282.70,      7338.35
Y, , ,NIFTY SMLCAP 250,     17052.70,     17112.75,     17156.75,     16987.65,     17054.50,0.00,0,Y, ,0,     18077.35,     14143.45
Y, , ,NIFTY MIDSML 400,     20385.90,     20460.65,     20513.65,     20272.95,     20347.85,0.00,0,Y, ,0,     20886.30,     17390.85
Y, , ,NIFTY200 QUALTY30,     19952.40,     20055.90,     20070.30,     19807.50,     19862.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty FinSrv25 50,     27294.20,     27359.55,     27654.60,     27222.65,     27327.85,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY AlphaLowVol,     25375.60,     25456.90,     25545.70,     25342.85,     25410.50,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200Momentm30,     30043.20,     30139.20,     30316.05,     29893.55,     30013.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty100ESGSecLdr,      3921.45,      3934.40,      3941.10,      3904.40,      3920.25,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY100 ESG,      4788.95,      4805.40,      4820.90,      4777.25,      4800.10,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY M150 QLTY50,     23695.00,     23826.00,     23850.20,     23571.50,     23628.55,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NIFTY INDIA MFG,     15790.90,     15847.70,     15861.05,     15679.80,     15730.15,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty200 Alpha 30,     25615.80,     25711.45,     25851.70,     25458.65,     25604.05,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,NiftyM150Momntm50,     62356.55,     62652.10,     62862.10,     61976.25,     62241.75,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty50 USD,      8470.35,      8470.30,      8543.15,      8400.10,      8529.40,0.00,0,Y, ,0,         0.00,         0.00
Y, , ,Nifty IT,     29300.60,     29509.95,     29639.80,     28918.85,     29010.30,0.00,0,Y, ,0,     40301.40,     27078.00
Y, , ,Nifty Next 50,     70010.95,     70311.50,     70568.95,     69814.80,     70191.95,0.00,0,Y, ,0,     72442.15,     59896.10
Y, , ,Nifty Bank,     54307.85,     54405.20,     54865.50,     54140.60,     54496.25,0.00,0,Y, ,0,     61764.85,     49954.85
Y, , ,NIFTY MIDCAP 100,     60966.65,     61179.00,     61359.15,     60508.15,     60754.90,0.00,0,Y, ,0,     62907.50,     52032.85
Y, , ,Nifty 500,     22497.70,     22569.45,     22614.65,     22379.05,     22465.35,0.00,0,Y, ,0,     24144.20,     20385.65
Y, , ,Nifty 100,     24427.70,     24500.20,     24544.60,     24301.50,     24397.30,0.00,0,Y, ,0,     26975.15,     22720.45
Y, , ,Nifty Midcap 50,     17264.65,     17323.50,     17382.05,     17129.00,     17198.90,0.00,0,Y, ,0,     17859.10,     14804.55
Y, , ,Nifty Realty,       764.60,       767.60,       779.05,       766.30,       768.90,0.00,0,Y, ,0,      1038.70,       638.65
Y, , ,Nifty Infra,      9209.15,      9235.55,      9244.95,      9143.80,      9182.25,0.00,0,Y, ,0,      9792.60,      8426.65
Y, , ,Nifty Energy,     40445.75,     40561.30,     40641.20,     40141.20,     40346.10,0.00,0,Y, ,0,     41828.55,     32890.30
