SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
BSE LIMITED,      4033.40,      3880.00,6658969,              26328228130.20
ZEE ENTERTAINMENT ENT LTD,       104.42,       112.27,230280587,              25473220495.33
RELIANCE INDUSTRIES LTD,      1303.70,      1291.00,17785223,              23028393410.00
STATE BANK OF INDIA,       979.25,       977.70,20955539,              20573351918.85
ADANI ENTERPRISES LIMITED,      2972.80,      3048.20,5617327,              16937706264.00
HDFC BANK LTD,       754.20,       747.05,22116568,              16596636748.90
HIMADRI SPECIALITY CHEM L,       642.00,       685.05,24445679,              16249728761.05
ADANI GREEN ENERGY LTD,      1423.30,      1525.70,10448500,              15622908418.90
BILLIONBRAINS GARAGE VN L,       190.16,       196.09,75384049,              14677027317.64
PARAS DEF AND SPCE TECH L,       893.80,       960.15,14940270,              14291566566.05
MULTI COMMODITY EXCHANGE,      2893.50,      2795.00,4709089,              13331462968.60
ICICI BANK LTD.,      1251.70,      1262.10,10166393,              12798754410.30
INDIA TOUR. DEV. CO. LTD.,       589.15,       669.95,18236659,              12211611019.75
BAJAJ FINANCE LIMITED,       874.40,       889.40,13274646,              11892197301.35
APOLLO MICRO SYSTEMS LTD,       419.20,       421.35,27746500,              11765653674.00
TATA CONSULTANCY SERV LT,      2241.00,      2198.90,5019717,              11143126655.80
INFOSYS LIMITED,      1201.30,      1197.50,8692290,              10447514955.60
VODAFONE IDEA LIMITED,        14.93,        14.95,685576040,              10323976421.95
OLA ELECTRIC MOBILITY LTD,        43.32,        44.88,232651366,              10288687484.70
AXIS BANK LIMITED,      1253.30,      1272.30,7825303,               9894824248.10
MTAR TECHNOLOGIES LIMITED,      7755.50,      7535.50,1254939,               9541535927.50
NETWEB TECH INDIA LTD,      4934.20,      4666.00,1931743,               9165774748.90
ETERNAL LIMITED,       254.35,       256.50,34207436,               8758212863.45
ADANI ENERGY SOLUTION LTD,      1520.00,      1579.00,5528998,               8650216162.40
WIPRO LTD,       204.32,       198.37,43539069,               8519408470.50
